"sessionid","applicationid","starttime","endtime","category","use","item","count","time"
2,"GrotonMA","2011-08-01 16:50:00.117+00","2011-08-01 16:55:35.878+00","map","show printable map form",,1,
2,"GrotonMA","2011-08-01 16:50:00.117+00","2011-08-01 16:55:35.878+00","map","create printable map",,1,
2,"GrotonMA","2011-08-01 16:50:00.117+00","2011-08-01 16:55:35.878+00","map tip","show tip",,1,3239
4,"GrotonMA","2011-08-01 17:06:02.827+00","2011-08-01 17:07:28.553+00","search","enter criteria",,2,
4,"GrotonMA","2011-08-01 17:06:02.827+00","2011-08-01 17:07:28.553+00","search","perform search",,2,272
4,"GrotonMA","2011-08-01 17:06:02.827+00","2011-08-01 17:07:28.553+00","search","select property",,1,
4,"GrotonMA","2011-08-01 17:06:02.827+00","2011-08-01 17:07:28.553+00","selection","select parcels",,2,136
4,"GrotonMA","2011-08-01 17:06:02.827+00","2011-08-01 17:07:28.553+00","property info","get property data",,2,530
4,"GrotonMA","2011-08-01 17:06:02.827+00","2011-08-01 17:07:28.553+00","property info","open panel",,2,
4,"GrotonMA","2011-08-01 17:06:02.827+00","2011-08-01 17:07:28.553+00","property info","select parcel on map",,1,41
4,"GrotonMA","2011-08-01 17:06:02.827+00","2011-08-01 17:07:28.553+00","map","change base map transparency",,1,
4,"GrotonMA","2011-08-01 17:06:02.827+00","2011-08-01 17:07:28.553+00","map tip","show tip",,1,44
6,"GrotonMA","2011-08-01 17:04:00.689+00","2011-08-01 17:11:47.214+00","map tip","show tip",,6,1823
6,"GrotonMA","2011-08-01 17:04:00.689+00","2011-08-01 17:11:47.214+00","property info","open panel",,4,
6,"GrotonMA","2011-08-01 17:04:00.689+00","2011-08-01 17:11:47.214+00","property info","select parcel on map",,3,1673
6,"GrotonMA","2011-08-01 17:04:00.689+00","2011-08-01 17:11:47.214+00","property info","get property data",,3,2805
6,"GrotonMA","2011-08-01 17:04:00.689+00","2011-08-01 17:11:47.214+00","map","pick identify tool",,4,
6,"GrotonMA","2011-08-01 17:04:00.689+00","2011-08-01 17:11:47.214+00","map","show legend",,1,
6,"GrotonMA","2011-08-01 17:04:00.689+00","2011-08-01 17:11:47.214+00","map","change base map","Aerial Photo",1,
6,"GrotonMA","2011-08-01 17:04:00.689+00","2011-08-01 17:11:47.214+00","map","change thematic map","Wetlands",1,
6,"GrotonMA","2011-08-01 17:04:00.689+00","2011-08-01 17:11:47.214+00","map","change thematic map","Water Resource Protection",1,
6,"GrotonMA","2011-08-01 17:04:00.689+00","2011-08-01 17:11:47.214+00","map","change thematic map","Natural Resource Protection",1,
6,"GrotonMA","2011-08-01 17:04:00.689+00","2011-08-01 17:11:47.214+00","map","change thematic map","Land Use",1,
6,"GrotonMA","2011-08-01 17:04:00.689+00","2011-08-01 17:11:47.214+00","map","change thematic map","Land Conservation",1,
6,"GrotonMA","2011-08-01 17:04:00.689+00","2011-08-01 17:11:47.214+00","map","change thematic map","Hazard Mitigation",1,
6,"GrotonMA","2011-08-01 17:04:00.689+00","2011-08-01 17:11:47.214+00","map","change thematic map","Topography",1,
6,"GrotonMA","2011-08-01 17:04:00.689+00","2011-08-01 17:11:47.214+00","map","change thematic map","Zones and Districts",1,
6,"GrotonMA","2011-08-01 17:04:00.689+00","2011-08-01 17:11:47.214+00","map","change thematic map","none",1,
6,"GrotonMA","2011-08-01 17:04:00.689+00","2011-08-01 17:11:47.214+00","map","pick measure area tool",,1,
6,"GrotonMA","2011-08-01 17:04:00.689+00","2011-08-01 17:11:47.214+00","client info","show site contact",,1,
6,"GrotonMA","2011-08-01 17:04:00.689+00","2011-08-01 17:11:47.214+00","client info","show disclaimer",,1,
6,"GrotonMA","2011-08-01 17:04:00.689+00","2011-08-01 17:11:47.214+00","client info","show comments form",,1,
6,"GrotonMA","2011-08-01 17:04:00.689+00","2011-08-01 17:11:47.214+00","selection","select parcels",,3,150
8,"GrotonMA","2011-08-01 16:57:50.289+00","2011-08-01 17:41:01.284+00","map","show printable map form",,5,
8,"GrotonMA","2011-08-01 16:57:50.289+00","2011-08-01 17:41:01.284+00","map","create printable map",,5,
8,"GrotonMA","2011-08-01 16:57:50.289+00","2011-08-01 17:41:01.284+00","map","show legend",,3,
8,"GrotonMA","2011-08-01 16:57:50.289+00","2011-08-01 17:41:01.284+00","map","change base map","Aerial Photo",2,
8,"GrotonMA","2011-08-01 16:57:50.289+00","2011-08-01 17:41:01.284+00","map","change base map","Base Map",3,
8,"GrotonMA","2011-08-01 16:57:50.289+00","2011-08-01 17:41:01.284+00","map","change base map","MapQuest",1,
8,"GrotonMA","2011-08-01 16:57:50.289+00","2011-08-01 17:41:01.284+00","map","change base map","OpenStreetMap",1,
8,"GrotonMA","2011-08-01 16:57:50.289+00","2011-08-01 17:41:01.284+00","map","change thematic map","Hazard Mitigation",6,
